20,20
sol,sol,sol,sol,sol,sol,sol,sol,sol,sol,sol,sol,sol,sol,sol,sol,sol,sol,sol,sol
sol,100,100,100,100,100,sol,000,000,000,000,000,000,000,000,000,000,000,000,sol
sol,100,100,100,100,100,sol,000,000,000,000,000,000,000,000,000,000,000,000,sol
sol,100,100,100,100,100,sol,000,000,000,000,000,000,000,000,000,000,000,000,sol
sol,100,100,100,100,100,sol,000,sol,000,000,000,000,000,000,000,000,000,000,sol
sol,100,100,100,100,100,sol,000,sol,000,000,000,000,000,000,000,000,000,000,sol
sol,100,100,100,100,100,sol,000,sol,000,000,000,000,000,000,000,000,000,000,sol
sol,sol,100,100,100,100,sol,000,sol,000,000,000,000,000,000,000,000,000,000,sol
sol,sol,sol,100,100,100,sol,000,sol,000,000,000,000,000,000,000,000,000,000,sol
sol,sol,sol,sol,100,100,100,000,sol,000,000,000,000,000,000,000,000,000,000,sol
sol,sol,sol,sol,sol,sol,sol,sol,sol,000,000,000,000,000,000,000,000,000,000,sol
sol,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,sol
sol,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,sol
sol,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,sol
sol,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,sol
sol,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,sol
sol,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,sol
sol,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,sol
sol,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,sol
sol,sol,sol,sol,sol,sol,sol,sol,sol,sol,sol,sol,sol,sol,sol,sol,sol,sol,sol,sol
